 row  golden      hw     gold(dec)       hw(dec)      rel%
 420    458B    458B     4448.0000     4448.0000    0.000%
 421    4581    4581     4128.0000     4128.0000    0.000%
 422    4586    4586     4288.0000     4288.0000    0.000%
 423    4580    4580     4096.0000     4096.0000    0.000%
 424    4580    4580     4096.0000     4096.0000    0.000%
 425    457B    457B     4016.0000     4016.0000    0.000%
 426    457C    457C     4032.0000     4032.0000    0.000%
 427    4583    4583     4192.0000     4192.0000    0.000%
 428    4583    4583     4192.0000     4192.0000    0.000%
 429    4587    4587     4320.0000     4320.0000    0.000%
 430    457C    457C     4032.0000     4032.0000    0.000%
 431    4583    4583     4192.0000     4192.0000    0.000%
 432    4580    4580     4096.0000     4096.0000    0.000%
 433    457E    457E     4064.0000     4064.0000    0.000%
 434    4580    4580     4096.0000     4096.0000    0.000%
 435    4583    4583     4192.0000     4192.0000    0.000%
 436    4580    4580     4096.0000     4096.0000    0.000%
 437    4579    4579     3984.0000     3984.0000    0.000%
 438    4584    4584     4224.0000     4224.0000    0.000%
 439    4581    4581     4128.0000     4128.0000    0.000%
 440    4589    4589     4384.0000     4384.0000    0.000%
 441    458D    458D     4512.0000     4512.0000    0.000%
 442    457D    457D     4048.0000     4048.0000    0.000%
 443    4579    4579     3984.0000     3984.0000    0.000%
 444    458A    458A     4416.0000     4416.0000    0.000%
 445    458A    458A     4416.0000     4416.0000    0.000%
 446    457B    457B     4016.0000     4016.0000    0.000%
 447    4580    4580     4096.0000     4096.0000    0.000%
 448    4588    4588     4352.0000     4352.0000    0.000%
 449    4585    4585     4256.0000     4256.0000    0.000%
 450    4589    4589     4384.0000     4384.0000    0.000%
 451    458A    458A     4416.0000     4416.0000    0.000%
 452    4585    4585     4256.0000     4256.0000    0.000%
 453    4580    4580     4096.0000     4096.0000    0.000%
 454    4580    4580     4096.0000     4096.0000    0.000%
 455    4585    4585     4256.0000     4256.0000    0.000%
 456    4582    4582     4160.0000     4160.0000    0.000%
 457    457D    457D     4048.0000     4048.0000    0.000%
 458    4585    4585     4256.0000     4256.0000    0.000%
 459    458E    458E     4544.0000     4544.0000    0.000%
 460    457E    457E     4064.0000     4064.0000    0.000%
 461    4580    4580     4096.0000     4096.0000    0.000%
 462    4584    4584     4224.0000     4224.0000    0.000%
 463    458F    458F     4576.0000     4576.0000    0.000%
 464    4586    4586     4288.0000     4288.0000    0.000%
 465    4582    4582     4160.0000     4160.0000    0.000%
 466    456A    456A     3744.0000     3744.0000    0.000%
 467    4585    4585     4256.0000     4256.0000    0.000%
 468    4581    4581     4128.0000     4128.0000    0.000%
 469    457A    457A     4000.0000     4000.0000    0.000%
 470    4580    4580     4096.0000     4096.0000    0.000%
 471    4572    4572     3872.0000     3872.0000    0.000%
 472    4582    4582     4160.0000     4160.0000    0.000%
 473    457E    457E     4064.0000     4064.0000    0.000%
 474    4586    4586     4288.0000     4288.0000    0.000%
 475    458F    458F     4576.0000     4576.0000    0.000%
 476    4584    4584     4224.0000     4224.0000    0.000%
 477    4583    4583     4192.0000     4192.0000    0.000%
 478    4580    4580     4096.0000     4096.0000    0.000%
 479    4584    4584     4224.0000     4224.0000    0.000%
 480    4588    4588     4352.0000     4352.0000    0.000%
 481    458B    458B     4448.0000     4448.0000    0.000%
 482    458E    458E     4544.0000     4544.0000    0.000%
 483    4587    4587     4320.0000     4320.0000    0.000%
 484    4583    4583     4192.0000     4192.0000    0.000%
 485    4585    4585     4256.0000     4256.0000    0.000%
 486    4575    4575     3920.0000     3920.0000    0.000%
 487    4589    4589     4384.0000     4384.0000    0.000%
 488    4587    4587     4320.0000     4320.0000    0.000%
 489    457F    457F     4080.0000     4080.0000    0.000%
 490    458A    458A     4416.0000     4416.0000    0.000%
 491    4582    4582     4160.0000     4160.0000    0.000%
 492    457F    457F     4080.0000     4080.0000    0.000%
 493    457E    457E     4064.0000     4064.0000    0.000%
 494    4588    4588     4352.0000     4352.0000    0.000%
 495    457C    457C     4032.0000     4032.0000    0.000%
 496    4581    4581     4128.0000     4128.0000    0.000%
 497    457F    457F     4080.0000     4080.0000    0.000%
 498    4585    4585     4256.0000     4256.0000    0.000%
 499    4584    4584     4224.0000     4224.0000    0.000%
 500    457C    457C     4032.0000     4032.0000    0.000%
 501    4586    4586     4288.0000     4288.0000    0.000%
 502    4580    4580     4096.0000     4096.0000    0.000%
 503    457B    457B     4016.0000     4016.0000    0.000%
 504    458E    458E     4544.0000     4544.0000    0.000%
 505    4579    4579     3984.0000     3984.0000    0.000%
 506    457E    457E     4064.0000     4064.0000    0.000%
 507    4584    4584     4224.0000     4224.0000    0.000%
 508    4585    4585     4256.0000     4256.0000    0.000%
 509    457B    457B     4016.0000     4016.0000    0.000%
 510    4582    4582     4160.0000     4160.0000    0.000%
 511    4588    4588     4352.0000     4352.0000    0.000%
 512    4509    4509     2192.0000     2192.0000    0.000%
 513    4509    4509     2192.0000     2192.0000    0.000%
 514    4507    4507     2160.0000     2160.0000    0.000%
 515    4502    4502     2080.0000     2080.0000    0.000%
 516    4504    4504     2112.0000     2112.0000    0.000%
 517    4504    4504     2112.0000     2112.0000    0.000%
 518    4500    4500     2048.0000     2048.0000    0.000%
 519    44F1    44F1     1928.0000     1928.0000    0.000%
 520    4503    4503     2096.0000     2096.0000    0.000%
 521    44D2    44D2     1680.0000     1680.0000    0.000%
 522    4508    4508     2176.0000     2176.0000    0.000%
 523    4506    4506     2144.0000     2144.0000    0.000%
